"B19083_001E","B19083_001M","GEO_ID","NAME"
"Estimate!!Gini Index","Margin of Error!!Gini Index","id","Geographic Area Name"
"0.4024","0.0524","1600000US3730120","Havelock city, North Carolina"
"0.4431","0.0472","1600000US3730260","Haw River town, North Carolina"
"0.4570","0.0660","1600000US3730280","Hayesville town, North Carolina"
"0.3809","0.0579","1600000US3730340","Hays CDP, North Carolina"
"0.4008","0.0929","1600000US3730620","Hemby Bridge town, North Carolina"
"0.5171","0.0720","1600000US3730660","Henderson city, North Carolina"
"0.4658","0.0250","1600000US3730720","Hendersonville city, North Carolina"
"0.2707","0.1303","1600000US3730800","Henrietta CDP, North Carolina"
"0.4306","0.0546","1600000US3730900","Hertford town, North Carolina"
"0.4932","0.0207","1600000US3731060","Hickory city, North Carolina"
"0.3513","0.1545","1600000US3731260","Hiddenite CDP, North Carolina"
"0.4884","0.0499","1600000US3731360","Highlands town, North Carolina"
"0.4766","0.0212","1600000US3731400","High Point city, North Carolina"
"0.4820","0.0675","1600000US3731440","High Shoals city, North Carolina"
"0.3946","0.1163","1600000US3731490","Hightsville CDP, North Carolina"
"0.4952","0.0984","1600000US3731500","Hildebran town, North Carolina"
"0.4780","0.0522","1600000US3731620","Hillsborough town, North Carolina"
"0.4161","0.0742","1600000US3731860","Hobgood town, North Carolina"
"-","**","1600000US3731880","Hobucken CDP, North Carolina"
"0.5300","0.1438","1600000US3731920","Hoffman town, North Carolina"
"0.4439","0.0647","1600000US3731960","Holden Beach town, North Carolina"
"0.4343","0.0465","1600000US3732100","Hollister CDP, North Carolina"
"0.3695","0.0387","1600000US3732180","Holly Ridge town, North Carolina"
"0.3570","0.0208","1600000US3732260","Holly Springs town, North Carolina"
"0.4290","0.0735","1600000US3732540","Hookerton town, North Carolina"
"0.3991","0.1494","1600000US3732580","Hoopers Creek CDP, North Carolina"
"0.4288","0.0192","1600000US3732640","Hope Mills town, North Carolina"
"0.4519","0.1060","1600000US3732740","Horse Shoe CDP, North Carolina"
"0.3827","0.0380","1600000US3732840","Hot Springs town, North Carolina"
"0.4253","0.0484","1600000US3732980","Hudson town, North Carolina"
"0.3925","0.0140","1600000US3733120","Huntersville town, North Carolina"
"0.3586","0.0690","1600000US3733320","Icard CDP, North Carolina"
"0.3741","0.0657","1600000US3733460","Indian Beach town, North Carolina"
"0.4031","0.0263","1600000US3733560","Indian Trail town, North Carolina"
"0.1279","0.6658","1600000US3733640","Ingold CDP, North Carolina"
"0.4504","0.0872","1600000US3733820","Iron Station CDP, North Carolina"
"0.4375","0.1783","1600000US3733940","Ivanhoe CDP, North Carolina"
"0.2842","0.1487","1600000US3733993","JAARS CDP, North Carolina"
"0.4131","0.0983","1600000US3734000","Jackson town, North Carolina"
"0.3866","0.0870","1600000US3734038","Jackson Heights CDP, North Carolina"
"-","**","1600000US3734160","Jackson Springs CDP, North Carolina"
"0.4102","0.0221","1600000US3734200","Jacksonville city, North Carolina"
"0.5236","0.0931","1600000US3734260","James City CDP, North Carolina"
"0.4707","0.0575","1600000US3734300","Jamestown town, North Carolina"
"0.4083","0.1039","1600000US3734320","Jamesville town, North Carolina"
"0.4270","0.0429","1600000US3734440","Jefferson town, North Carolina"
"0.4715","0.0671","1600000US3734840","Jonesville town, North Carolina"
"0.4549","0.0229","1600000US3735200","Kannapolis city, North Carolina"
"0.3464","0.1522","1600000US3735340","Keener CDP, North Carolina"
"0.4255","0.1604","1600000US3735360","Kelford town, North Carolina"
"0.3865","0.1380","1600000US3735440","Kelly CDP, North Carolina"
"0.4228","0.0638","1600000US3735460","Kenansville town, North Carolina"
"0.4362","0.0605","1600000US3735540","Kenly town, North Carolina"
"0.4564","0.0213","1600000US3735600","Kernersville town, North Carolina"
"0.3750","0.0351","1600000US3735720","Kill Devil Hills town, North Carolina"
"0.4376","0.0913","1600000US3735760","King city, North Carolina"
"0.3913","0.0379","1600000US3735870","Kings Grant CDP, North Carolina"
"0.4737","0.0368","1600000US3735880","Kings Mountain city, North Carolina"
"0.5702","0.1454","1600000US3735890","Kingstown town, North Carolina"
"0.5297","0.0453","1600000US3735920","Kinston city, North Carolina"
"0.4083","0.1284","1600000US3736020","Kittrell town, North Carolina"
"0.4335","0.0409","1600000US3736060","Kitty Hawk town, North Carolina"
"0.3934","0.0419","1600000US3736080","Knightdale town, North Carolina"
